2025-11-12 19:30:09,771 - OK | nm=179992908 | qty= 500 | session_age=1s | session_req#3
2025-11-12 19:30:09,775 - OK | nm=9563078 | qty= 100 | session_age=1s | session_req#7
2025-11-12 19:30:09,780 - OK | nm=185500022 | qty= 323 | session_age=1s | session_req#9
2025-11-12 19:30:09,789 - OK | nm=168505116 | qty= 545 | session_age=1s | session_req#10
2025-11-12 19:30:10,128 - OK | nm=9866831 | qty= 332 | session_age=1s | session_req#11
2025-11-12 19:30:10,180 - OK | nm=238031475 | qty=  88 | session_age=1s | session_req#12
2025-11-12 19:30:10,187 - OK | nm=120932788 | qty= 600 | session_age=1s | session_req#13
2025-11-12 19:30:10,233 - OK | nm=207068037 | qty= 996 | session_age=1s | session_req#14
2025-11-12 19:30:10,400 - OK | nm=189603004 | qty= 100 | session_age=1s | session_req#15
2025-11-12 19:30:10,464 - OK | nm=136768866 | qty= 672 | session_age=1s | session_req#16
2025-11-12 19:30:10,501 - OK | nm=165241082 | qty= 301 | session_age=1s | session_req#17
2025-11-12 19:30:10,504 - OK | nm=419998249 | qty= 400 | session_age=1s | session_req#18
2025-11-12 19:30:10,620 - OK | nm=30451221 | qty=  68 | session_age=1s | session_req#19
2025-11-12 19:30:10,632 - OK | nm=141498422 | qty=  83 | session_age=1s | session_req#20
2025-11-12 19:30:11,906 - OK | nm=158704002 | qty= 601 | session_age=1s | session_req#3
2025-11-12 19:30:11,911 - OK | nm=163405211 | qty=  39 | session_age=1s | session_req#1
2025-11-12 19:30:11,912 - OK | nm=75912834 | qty= 893 | session_age=1s | session_req#2
2025-11-12 19:30:11,916 - OK | nm=263512725 | qty= 626 | session_age=1s | session_req#8
2025-11-12 19:30:11,918 - OK | nm=246057235 | qty= 398 | session_age=1s | session_req#10
2025-11-12 19:30:11,920 - OK | nm=252979725 | qty= 200 | session_age=1s | session_req#5
2025-11-12 19:30:11,921 - OK | nm=458327977 | qty=  37 | session_age=1s | session_req#6
2025-11-12 19:30:11,921 - OK | nm=217899612 | qty= 701 | session_age=1s | session_req#9
2025-11-12 19:30:11,929 - OK | nm=112516260 | qty= 880 | session_age=1s | session_req#7
2025-11-12 19:30:11,938 - OK | nm=458414487 | qty=  27 | session_age=1s | session_req#4
2025-11-12 19:30:13,402 - OK | nm=458210960 | qty=   8 | session_age=2s | session_req#11
2025-11-12 19:30:13,472 - OK | nm=103585953 | qty=   0 | session_age=2s | session_req#12
2025-11-12 19:30:13,503 - OK | nm=168246160 | qty= 200 | session_age=2s | session_req#13
2025-11-12 19:30:13,505 - OK | nm=444618006 | qty=  16 | session_age=2s | session_req#14
2025-11-12 19:30:13,541 - OK | nm=494609190 | qty= 603 | session_age=2s | session_req#15
